opp_id,kunde_id,kunde_name,branche,vertriebsmitarbeiter,produkt_id,produkt_name,deal_wert,stage,stage_nr,tage_in_stage,tage_seit_erstellung,letzter_kontakt_tage,wettbewerber,rabatt_gefordert_pct,crm_probability,status
OPP-0001,K01,Müller GmbH,Maschinenbau,Meyer,P03,Druckluftanlage DA-100,420000,Angebot,3,38,96,17,Nordtech AG,12,60,offen
OPP-0002,K02,Schneider AG,Automotive,Schulz,P10,Wartungsvertrag Premium,210000,Verhandlung,4,11,74,4,—,6,80,offen
OPP-0003,K03,Meier GmbH,Chemie,Meyer,P01,Hydraulikpumpe HX-200,145000,Bedarfsanalyse,2,62,112,41,Vertec Systems,18,40,offen
OPP-0004,K05,Weber Industrie,Maschinenbau,Schulz,P03,Druckluftanlage DA-100,380000,Verhandlung,4,24,85,9,Industrial One,22,80,offen
OPP-0005,K06,Braun Systems,Pharma,Meyer,P11,Inbetriebnahme & Setup,95000,Angebot,3,14,41,6,—,8,60,offen
OPP-0006,K09,Groß Maschinenbau,Metallindustrie,Meyer,P02,Kompressor KA-500,265000,Angebot,3,71,160,55,Hydrotek GmbH,15,60,offen
OPP-0007,K11,Hoffmann Werke,Lebensmittel,Schulz,P03,Druckluftanlage DA-100,310000,Abschluss,5,8,47,3,—,9,92,offen
OPP-0008,K14,Koch Anlagen,Maschinenbau,Schulz,P10,Wartungsvertrag Premium,175000,Angebot,3,19,80,12,Nordtech AG,11,60,offen
OPP-0009,K13,Wagner Systems,Metallindustrie,Hoffmann,P01,Hydraulikpumpe HX-200,70000,Bedarfsanalyse,2,59,158,29,Nordtech AG,9,40,offen
OPP-0010,K11,Hoffmann Werke,Lebensmittel,Schulz,P12,Anwenderschulung,518000,Verhandlung,4,66,92,58,—,9,80,offen
OPP-0011,K03,Meier GmbH,Chemie,Meyer,P11,Inbetriebnahme & Setup,92000,Angebot,3,55,71,32,Industrial One,19,60,offen
OPP-0012,K13,Wagner Systems,Metallindustrie,Hoffmann,P05,Steuerungsmodul SM-Pro,65000,Qualifizierung,1,74,194,52,Industrial One,19,20,offen
OPP-0013,K02,Schneider AG,Automotive,Schulz,P09,Wartungsvertrag Basic,338000,Verhandlung,4,78,151,41,Hydrotek GmbH,18,80,offen
OPP-0014,K03,Meier GmbH,Chemie,Meyer,P05,Steuerungsmodul SM-Pro,82000,Verhandlung,4,36,102,17,Hydrotek GmbH,19,80,offen
