angebot_id,gewonnen,konfiguration,gesamtpreis,gesamtkosten,deckungsbeitrag_pct,branche,menge
ANG-0001,0,"B07,A11,S07,G04,Z09,Z05,Z12",30600.0,14700,45.0,Pharma,2
ANG-0002,0,"B01,A05,S02,G08,Z02,Z13",9700.0,5200,44.0,Automotive,2
ANG-0003,0,"B04,A02,S02,G02,Z07",14200.0,7100,44.8,Lebensmittel,1
ANG-0004,1,"B03,A08,S03,G03,Z12,Z02,Z11",22700.0,10300,45.0,Chemie,1
ANG-0005,1,"B08,A06,S02,G01,Z01,Z12",13300.0,6100,45.0,Chemie,1
ANG-0006,0,"B07,A14,S11,G04,Z05,Z11,Z09",29700.0,14300,45.0,Maschinenbau,2
ANG-0007,0,"B10,A04,S11,G10,Z10",26100.0,13300,45.0,Automotive,5
ANG-0008,1,"B02,A02,S03,G07,Z04,Z01",16000.0,8300,45.0,Pharma,1
ANG-0009,1,"B05,A08,S06,G04,Z13,Z03,Z14",23600.0,11300,45.0,Pharma,1
ANG-0010,1,"B01,A05,S10,G08,Z13,Z12,Z14",9900.0,5200,45.0,Chemie,2
ANG-0011,0,"B03,A07,S05,G10,Z02,Z04",19200.0,10000,45.0,Chemie,1
ANG-0012,1,"B06,A01,S10,G08,Z12",10300.0,4900,45.0,Maschinenbau,2
ANG-0013,0,"B01,A05,S02,G08,Z05",9800.0,4600,45.0,Maschinenbau,2
ANG-0014,1,"B03,A07,S03,G02,Z04,Z13",17500.0,8600,45.0,Lebensmittel,2
ANG-0015,1,"B07,A11,S08,G06,Z08,Z12",30000.0,16100,45.0,Energie,1
ANG-0016,1,"B07,A03,S04,G10,Z04",21800.0,11400,45.0,Pharma,1
ANG-0017,1,"B03,A08,S03,G02,Z08",19600.0,9100,45.0,Pharma,1
ANG-0018,0,"B07,A07,S04,G07,Z13",22100.0,10100,45.0,Maschinenbau,1
ANG-0019,1,"B09,A07,S04,G10,Z07",18300.0,9900,44.4,Lebensmittel,2
ANG-0020,0,"B01,A01,S02,G01,Z12,Z13,Z09",12300.0,5800,45.0,Lebensmittel,2
ANG-0021,0,"B09,A07,S04,G03,Z09,Z01,Z12",19600.0,10000,44.6,Automotive,1
ANG-0022,0,"B08,A01,S10,G08,Z09",10500.0,5600,45.0,Maschinenbau,2
ANG-0023,0,"B04,A10,S11,G03,Z10",20700.0,10700,45.0,Pharma,2
ANG-0024,0,"B03,A02,S09,G02,Z06,Z05,Z04",18700.0,8900,45.0,Chemie,1
ANG-0025,0,"B10,A11,S07,G04,Z06,Z13",32600.0,14700,45.0,Automotive,1
ANG-0026,1,"B04,A10,S07,G05,Z04,Z09,Z05",23800.0,12600,45.0,Chemie,1
ANG-0027,1,"B02,A02,S09,G06,Z14,Z09",20300.0,9600,45.0,Pharma,3
ANG-0028,0,"B02,A05,S01,G08,Z05,Z11,Z02",12900.0,5800,45.0,Maschinenbau,1
ANG-0029,1,"B09,A09,S04,G07,Z05,Z10",22100.0,11500,45.0,Chemie,2
ANG-0030,1,"B07,A09,S04,G03,Z14,Z01",23000.0,12200,45.0,Lebensmittel,1
ANG-0031,1,"B09,A07,S04,G07,Z05,Z03,Z12",20100.0,10000,45.0,Energie,3
ANG-0032,1,"B08,A05,S02,G08,Z09",9800.0,5300,45.0,Chemie,1
ANG-0033,1,"B07,A03,S03,G07,Z13,Z01",23500.0,10700,45.0,Maschinenbau,2
ANG-0034,0,"B10,A11,S11,G09,Z10,Z12",26600.0,14000,45.0,Maschinenbau,2
ANG-0035,0,"B04,A11,S11,G09,Z03",24600.0,11500,45.0,Chemie,3
ANG-0036,0,"B07,A03,S05,G10,Z05",20600.0,10800,45.0,Energie,1
ANG-0037,1,"B09,A08,S05,G10,Z14",22100.0,10000,45.0,Chemie,1
ANG-0038,0,"B07,A09,S06,G04,Z04,Z07,Z06",26100.0,13400,45.0,Automotive,2
ANG-0039,0,"B09,A09,S06,G04,Z14,Z09,Z06",28400.0,12800,45.0,Automotive,1
ANG-0040,0,"B07,A04,S11,G10,Z02",27300.0,13200,45.0,Chemie,2
ANG-0041,1,"B08,A02,S02,G08,Z07",14300.0,6500,45.0,Maschinenbau,5
ANG-0042,0,"B01,A13,S02,G01,Z11,Z12,Z13",11600.0,5400,45.0,Maschinenbau,1
ANG-0043,1,"B03,A08,S05,G03,Z06,Z11,Z02",22100.0,10400,45.0,Chemie,3
ANG-0044,0,"B04,A02,S09,G03,Z09,Z03",15100.0,7900,45.0,Energie,2
ANG-0045,0,"B02,A02,S02,G08,Z05,Z07,Z09",15700.0,7200,45.0,Chemie,3
ANG-0046,0,"B03,A08,S05,G10,Z08,Z14",21100.0,10400,45.0,Maschinenbau,3
ANG-0047,1,"B02,A05,S02,G01,Z11",10300.0,5500,45.0,Pharma,5
ANG-0048,0,"B04,A02,S02,G08,Z11",13000.0,6600,45.0,Maschinenbau,2
ANG-0049,1,"B07,A11,S06,G09,Z08",27000.0,13500,45.0,Energie,2
ANG-0050,0,"B04,A11,S07,G09,Z03",25600.0,12200,45.0,Automotive,5
ANG-0051,1,"B04,A11,S08,G05,Z04,Z03",29500.0,13600,45.0,Energie,5
ANG-0052,0,"B03,A07,S04,G07,Z08",18300.0,9700,44.0,Lebensmittel,5
ANG-0053,0,"B03,A09,S06,G07,Z10,Z12",27700.0,12600,45.0,Lebensmittel,3
ANG-0054,1,"B10,A09,S06,G04,Z08,Z05",28800.0,13500,45.0,Energie,1
ANG-0055,0,"B07,A11,S08,G05,Z08,Z02",33100.0,15600,45.0,Maschinenbau,1
ANG-0056,1,"B07,A09,S05,G03,Z04",22000.0,11100,45.0,Maschinenbau,2
ANG-0057,0,"B03,A03,S04,G03,Z07,Z01",21300.0,11100,45.0,Lebensmittel,1
ANG-0058,0,"B08,A05,S02,G08,Z07,Z08,Z01",13100.0,5900,45.0,Chemie,2
ANG-0059,1,"B03,A03,S03,G02,Z12,Z14,Z09",22300.0,10300,45.0,Maschinenbau,2
ANG-0060,1,"B04,A11,S11,G09,Z11,Z14",25900.0,12000,45.0,Energie,2
ANG-0061,0,"B10,A14,S08,G06,Z01,Z07,Z10",36100.0,17500,45.0,Automotive,1
ANG-0062,0,"B07,A11,S07,G04,Z05",28100.0,14100,45.0,Maschinenbau,1
ANG-0063,1,"B07,A04,S04,G03,Z05,Z02",25600.0,12600,45.0,Energie,3
ANG-0064,1,"B08,A01,S01,G01,Z13",12000.0,5400,45.0,Automotive,1
ANG-0065,0,"B09,A09,S04,G02,Z03,Z04,Z14",22900.0,11300,45.0,Automotive,5
ANG-0066,1,"B09,A04,S04,G07,Z03,Z10",24400.0,11700,45.0,Energie,1
ANG-0067,1,"B03,A08,S05,G03,Z10",17800.0,9600,45.0,Chemie,3
ANG-0068,1,"B01,A12,S01,G01,Z02",9100.0,4400,45.0,Energie,3
ANG-0069,1,"B04,A10,S05,G03,Z13,Z02,Z10",22800.0,10600,45.0,Chemie,3
ANG-0070,0,"B03,A09,S06,G09,Z01,Z07",27500.0,12700,45.0,Automotive,2
ANG-0071,1,"B03,A07,S04,G07,Z03,Z07,Z14",22500.0,10600,45.0,Energie,2
ANG-0072,1,"B10,A09,S06,G10,Z07,Z12",29100.0,14000,45.0,Chemie,2
ANG-0073,1,"B10,A04,S04,G07,Z13",25800.0,12700,45.0,Pharma,1
ANG-0074,0,"B04,A10,S05,G03,Z08",18700.0,9700,45.0,Chemie,1
ANG-0075,1,"B07,A11,S11,G04,Z01,Z09,Z04",26200.0,14000,45.0,Energie,2
ANG-0076,1,"B04,A14,S11,G03,Z12,Z08,Z13",26600.0,12300,45.0,Automotive,3
ANG-0077,1,"B10,A07,S05,G04,Z06,Z08,Z09",21800.0,10600,45.0,Lebensmittel,2
ANG-0078,0,"B05,A10,S05,G04,Z05,Z14",21500.0,11200,45.0,Energie,5
ANG-0079,0,"B03,A09,S06,G04,Z03,Z04,Z13",27100.0,12700,45.0,Chemie,1
ANG-0080,0,"B03,A09,S04,G02,Z14",21600.0,11300,45.0,Maschinenbau,1
