kunde_id,kunde_name,branche,vertriebsmitarbeiter,groesse_klasse,jahr,produkt_id,produkt_name,produktgruppe,menge,einzelpreis,umsatz
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2023,P01,Hydraulikpumpe HX-200,Maschinen,8,2686,21488
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2023,P02,Kompressor KA-500,Maschinen,14,2094,29316
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2023,P05,Steuerungsmodul SM-Pro,Zubehör,20,1132,22640
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2023,P06,Präzisionssensor PS-200,Zubehör,19,571,10849
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2023,P09,Wartungsvertrag Basic,Service,8,602,4816
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2023,P11,Inbetriebnahme & Setup,Service,11,747,8217
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2024,P01,Hydraulikpumpe HX-200,Maschinen,9,2413,21717
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2024,P02,Kompressor KA-500,Maschinen,18,2065,37170
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2024,P05,Steuerungsmodul SM-Pro,Zubehör,23,1062,24426
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2024,P06,Präzisionssensor PS-200,Zubehör,23,591,13593
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2024,P09,Wartungsvertrag Basic,Service,10,644,6440
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2024,P11,Inbetriebnahme & Setup,Service,14,794,11116
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2025,P01,Hydraulikpumpe HX-200,Maschinen,11,2448,26928
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2025,P02,Kompressor KA-500,Maschinen,20,1993,39860
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2025,P05,Steuerungsmodul SM-Pro,Zubehör,25,1108,27700
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2025,P06,Präzisionssensor PS-200,Zubehör,27,527,14229
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2025,P09,Wartungsvertrag Basic,Service,11,643,7073
K01,Müller GmbH,Maschinenbau,Meyer,Groß,2025,P11,Inbetriebnahme & Setup,Service,15,721,10815
K02,Schneider AG,Automotive,Schulz,Groß,2023,P02,Kompressor KA-500,Maschinen,18,2040,36720
K02,Schneider AG,Automotive,Schulz,Groß,2023,P03,Druckluftanlage DA-100,Maschinen,18,3840,69120
K02,Schneider AG,Automotive,Schulz,Groß,2023,P05,Steuerungsmodul SM-Pro,Zubehör,8,994,7952
K02,Schneider AG,Automotive,Schulz,Groß,2023,P06,Präzisionssensor PS-200,Zubehör,15,511,7665
K02,Schneider AG,Automotive,Schulz,Groß,2023,P07,Druckregler DR-80,Zubehör,18,389,7002
K02,Schneider AG,Automotive,Schulz,Groß,2023,P10,Wartungsvertrag Premium,Service,18,1139,20502
K02,Schneider AG,Automotive,Schulz,Groß,2023,P11,Inbetriebnahme & Setup,Service,16,772,12352
K02,Schneider AG,Automotive,Schulz,Groß,2023,P12,Anwenderschulung,Service,19,560,10640
K02,Schneider AG,Automotive,Schulz,Groß,2024,P02,Kompressor KA-500,Maschinen,24,2113,50712
K02,Schneider AG,Automotive,Schulz,Groß,2024,P03,Druckluftanlage DA-100,Maschinen,21,3834,80514
K02,Schneider AG,Automotive,Schulz,Groß,2024,P05,Steuerungsmodul SM-Pro,Zubehör,10,1171,11710
K02,Schneider AG,Automotive,Schulz,Groß,2024,P06,Präzisionssensor PS-200,Zubehör,19,551,10469
K02,Schneider AG,Automotive,Schulz,Groß,2024,P07,Druckregler DR-80,Zubehör,24,364,8736
K02,Schneider AG,Automotive,Schulz,Groß,2024,P10,Wartungsvertrag Premium,Service,22,1222,26884
K02,Schneider AG,Automotive,Schulz,Groß,2024,P11,Inbetriebnahme & Setup,Service,19,826,15694
K02,Schneider AG,Automotive,Schulz,Groß,2024,P12,Anwenderschulung,Service,23,567,13041
K02,Schneider AG,Automotive,Schulz,Groß,2025,P02,Kompressor KA-500,Maschinen,26,1904,49504
K02,Schneider AG,Automotive,Schulz,Groß,2025,P03,Druckluftanlage DA-100,Maschinen,25,3918,97950
K02,Schneider AG,Automotive,Schulz,Groß,2025,P05,Steuerungsmodul SM-Pro,Zubehör,11,1085,11935
K02,Schneider AG,Automotive,Schulz,Groß,2025,P06,Präzisionssensor PS-200,Zubehör,22,584,12848
K02,Schneider AG,Automotive,Schulz,Groß,2025,P07,Druckregler DR-80,Zubehör,26,375,9750
K02,Schneider AG,Automotive,Schulz,Groß,2025,P10,Wartungsvertrag Premium,Service,24,1290,30960
K02,Schneider AG,Automotive,Schulz,Groß,2025,P11,Inbetriebnahme & Setup,Service,23,783,18009
K02,Schneider AG,Automotive,Schulz,Groß,2025,P12,Anwenderschulung,Service,28,621,17388
K03,Meier GmbH,Chemie,Meyer,Mittel,2023,P01,Hydraulikpumpe HX-200,Maschinen,12,2760,33120
K03,Meier GmbH,Chemie,Meyer,Mittel,2023,P04,Förderpumpe FP-350,Maschinen,15,2331,34965
K03,Meier GmbH,Chemie,Meyer,Mittel,2023,P07,Druckregler DR-80,Zubehör,7,406,2842
K03,Meier GmbH,Chemie,Meyer,Mittel,2023,P09,Wartungsvertrag Basic,Service,15,656,9840
K03,Meier GmbH,Chemie,Meyer,Mittel,2024,P01,Hydraulikpumpe HX-200,Maschinen,10,2527,25270
K03,Meier GmbH,Chemie,Meyer,Mittel,2024,P04,Förderpumpe FP-350,Maschinen,13,2189,28457
K03,Meier GmbH,Chemie,Meyer,Mittel,2024,P07,Druckregler DR-80,Zubehör,6,370,2220
K03,Meier GmbH,Chemie,Meyer,Mittel,2024,P09,Wartungsvertrag Basic,Service,12,604,7248
K03,Meier GmbH,Chemie,Meyer,Mittel,2025,P01,Hydraulikpumpe HX-200,Maschinen,8,2668,21344
K03,Meier GmbH,Chemie,Meyer,Mittel,2025,P04,Förderpumpe FP-350,Maschinen,12,2183,26196
K03,Meier GmbH,Chemie,Meyer,Mittel,2025,P07,Druckregler DR-80,Zubehör,5,360,1800
K03,Meier GmbH,Chemie,Meyer,Mittel,2025,P09,Wartungsvertrag Basic,Service,11,686,7546
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2023,P02,Kompressor KA-500,Maschinen,8,2222,17776
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2023,P05,Steuerungsmodul SM-Pro,Zubehör,9,1076,9684
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2023,P06,Präzisionssensor PS-200,Zubehör,6,554,3324
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2023,P08,Schlauchpaket SP-Set,Zubehör,4,208,832
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2023,P09,Wartungsvertrag Basic,Service,9,620,5580
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2023,P12,Anwenderschulung,Service,10,616,6160
K04,Schmidt AG,Lebensmittel,Hoffmann,Mittel,2024,P02,Kompressor KA-500,Maschinen,8,2071,16568
