angebot_id,datum,kunde,produkt,kategorie,listenpreis,verkaufspreis,rabatt_pct,menge,umsatz,deckungsbeitrag_pct,vertriebsmitarbeiter,region
ANG-0001,2023-08-17,Müller GmbH,Hydraulikpumpe,Maschinen,2800,2422.0,13.5,8,19376.0,32.9,Hoffmann,Süd
ANG-0002,2023-01-31,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2413.6,13.8,2,4827.2,32.7,Hoffmann,Süd
ANG-0003,2023-07-23,Müller GmbH,Steuerungsmodul,Elektronik,1200,1003.2,16.4,18,18057.6,37.8,Meyer,Nord
ANG-0004,2023-06-13,Braun Industrie,Steuerungsmodul,Elektronik,1200,1195.2,0.4,1,1195.2,47.8,Schulz,Süd
ANG-0005,2023-12-11,Braun Industrie,Wartungsvertrag,Service,900,792.9,11.9,7,5550.3,18.3,Schulz,Nord
ANG-0006,2024-04-15,Schmidt & Co.,Wartungsvertrag,Service,900,765.9,14.9,2,1531.8,15.4,Hoffmann,Süd
ANG-0007,2023-10-28,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2483.6,11.3,18,44704.8,34.6,Schulz,Nord
ANG-0008,2024-11-08,Schmidt & Co.,Steuerungsmodul,Elektronik,1200,1129.2,5.9,2,2258.4,44.7,Hoffmann,Nord
ANG-0009,2024-01-25,Weber AG,Wartungsvertrag,Service,900,748.8,16.8,4,2995.2,13.5,Meyer,Nord
ANG-0010,2024-11-17,Schmidt & Co.,Steuerungsmodul,Elektronik,1200,1020.0,15.0,7,7140.0,38.8,Schulz,Süd
ANG-0011,2023-09-08,Schmidt & Co.,Hydraulikpumpe,Maschinen,2800,2394.0,14.5,18,43092.0,32.2,Hoffmann,Nord
ANG-0012,2023-08-23,Fischer Tech,Steuerungsmodul,Elektronik,1200,1005.6,16.2,2,2011.2,37.9,Hoffmann,Süd
ANG-0013,2023-08-05,Müller GmbH,Wartungsvertrag,Service,900,778.5,13.5,3,2335.5,16.8,Schulz,Süd
ANG-0014,2024-10-20,Schmidt & Co.,Steuerungsmodul,Elektronik,1200,1096.8,8.6,13,14258.4,43.1,Hoffmann,Süd
ANG-0015,2024-07-28,Braun Industrie,Steuerungsmodul,Elektronik,1200,1200,0,8,9600,48.0,Schulz,Nord
ANG-0016,2024-06-05,Braun Industrie,Präzisionssensor,Elektronik,480,451.2,6.0,5,2256.0,41.5,Schulz,Nord
ANG-0017,2024-10-04,Braun Industrie,Hydraulikpumpe,Maschinen,2800,2184.0,22.0,5,10920.0,25.6,Meyer,Nord
ANG-0018,2024-04-24,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2396.8,14.4,20,47936.0,32.2,Schulz,Süd
ANG-0019,2024-11-29,Fischer Tech,Wartungsvertrag,Service,900,736.2,18.2,4,2944.8,12.0,Hoffmann,Nord
ANG-0020,2024-04-09,Schmidt & Co.,Hydraulikpumpe,Maschinen,2800,2730.0,2.5,6,16380.0,40.5,Schulz,Süd
ANG-0021,2023-04-19,Müller GmbH,Wartungsvertrag,Service,900,765.9,14.9,17,13020.3,15.4,Hoffmann,Nord
ANG-0022,2024-07-06,Fischer Tech,Steuerungsmodul,Elektronik,1200,1021.2,14.9,6,6127.2,38.9,Meyer,Süd
ANG-0023,2023-01-20,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2363.2,15.6,16,37811.2,31.3,Hoffmann,Süd
ANG-0024,2023-03-22,Schmidt & Co.,Steuerungsmodul,Elektronik,1200,946.8,21.1,19,17989.2,34.1,Meyer,Nord
ANG-0025,2024-11-06,Müller GmbH,Präzisionssensor,Elektronik,480,423.36,11.8,5,2116.8,37.6,Meyer,Nord
ANG-0026,2024-02-13,Schmidt & Co.,Präzisionssensor,Elektronik,480,388.8,19.0,10,3888.0,32.1,Meyer,Nord
ANG-0027,2023-09-11,Schmidt & Co.,Präzisionssensor,Elektronik,480,419.04,12.7,4,1676.16,37.0,Hoffmann,Süd
ANG-0028,2023-03-14,Fischer Tech,Steuerungsmodul,Elektronik,1200,1002.0,16.5,1,1002.0,37.7,Hoffmann,Nord
ANG-0029,2023-03-14,Müller GmbH,Steuerungsmodul,Elektronik,1200,1032.0,14.0,11,11352.0,39.5,Meyer,Nord
ANG-0030,2024-08-13,Braun Industrie,Steuerungsmodul,Elektronik,1200,1060.8,11.6,19,20155.2,41.2,Hoffmann,Nord
ANG-0031,2023-04-07,Braun Industrie,Steuerungsmodul,Elektronik,1200,1051.2,12.4,7,7358.4,40.6,Schulz,Süd
ANG-0032,2023-03-04,Braun Industrie,Präzisionssensor,Elektronik,480,427.2,11.0,4,1708.8,38.2,Schulz,Nord
ANG-0033,2023-07-14,Braun Industrie,Wartungsvertrag,Service,900,762.3,15.3,7,5336.1,15.0,Meyer,Nord
ANG-0034,2024-03-29,Weber AG,Wartungsvertrag,Service,900,833.4,7.4,3,2500.2,22.2,Schulz,Nord
ANG-0035,2023-08-31,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2214.8,20.9,3,6644.4,26.7,Meyer,Nord
ANG-0036,2023-01-03,Weber AG,Präzisionssensor,Elektronik,480,369.6,23.0,13,4804.8,28.6,Meyer,Nord
ANG-0037,2024-12-14,Braun Industrie,Wartungsvertrag,Service,900,685.8,23.8,14,9601.2,5.5,Schulz,Süd
ANG-0038,2023-08-11,Fischer Tech,Präzisionssensor,Elektronik,480,414.24,13.7,10,4142.4,36.3,Meyer,Nord
ANG-0039,2023-02-21,Müller GmbH,Hydraulikpumpe,Maschinen,2800,2606.8,6.9,2,5213.6,37.7,Hoffmann,Süd
ANG-0040,2023-03-12,Fischer Tech,Steuerungsmodul,Elektronik,1200,1020.0,15.0,6,6120.0,38.8,Meyer,Nord
ANG-0041,2023-05-03,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2293.2,18.1,13,29811.6,29.2,Hoffmann,Nord
ANG-0042,2024-11-04,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2528.4,9.7,14,35397.6,35.8,Hoffmann,Nord
ANG-0043,2023-09-02,Fischer Tech,Wartungsvertrag,Service,900,830.7,7.7,11,9137.7,22.0,Schulz,Nord
ANG-0044,2024-04-14,Schmidt & Co.,Präzisionssensor,Elektronik,480,429.12,10.6,1,429.12,38.5,Schulz,Nord
ANG-0045,2023-09-29,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2209.2,21.1,17,37556.4,26.5,Meyer,Nord
ANG-0046,2024-03-24,Müller GmbH,Steuerungsmodul,Elektronik,1200,1063.2,11.4,6,6379.2,41.3,Schulz,Süd
ANG-0047,2023-11-03,Fischer Tech,Wartungsvertrag,Service,900,773.1,14.1,18,13915.8,16.2,Hoffmann,Nord
ANG-0048,2023-06-09,Weber AG,Wartungsvertrag,Service,900,747.0,17.0,18,13446.0,13.3,Meyer,Nord
ANG-0049,2023-07-28,Schmidt & Co.,Wartungsvertrag,Service,900,825.3,8.3,11,9078.3,21.5,Hoffmann,Nord
ANG-0050,2024-10-11,Fischer Tech,Präzisionssensor,Elektronik,480,480,0,3,1440,45.0,Schulz,Nord
ANG-0051,2023-05-14,Braun Industrie,Wartungsvertrag,Service,900,760.5,15.5,11,8365.5,14.8,Meyer,Nord
ANG-0052,2023-03-19,Braun Industrie,Präzisionssensor,Elektronik,480,436.8,9.0,4,1747.2,39.6,Hoffmann,Nord
ANG-0053,2023-05-11,Weber AG,Hydraulikpumpe,Maschinen,2800,2447.2,12.6,14,34260.8,33.6,Schulz,Nord
ANG-0054,2023-12-29,Müller GmbH,Wartungsvertrag,Service,900,727.2,19.2,4,2908.8,10.9,Meyer,Nord
ANG-0055,2023-06-16,Fischer Tech,Präzisionssensor,Elektronik,480,379.2,21.0,8,3033.6,30.4,Hoffmann,Nord
ANG-0056,2024-11-16,Braun Industrie,Hydraulikpumpe,Maschinen,2800,2335.2,16.6,14,32692.8,30.5,Meyer,Süd
ANG-0057,2023-02-09,Weber AG,Wartungsvertrag,Service,900,718.2,20.2,13,9336.6,9.8,Meyer,Nord
ANG-0058,2023-01-25,Braun Industrie,Wartungsvertrag,Service,900,853.2,5.2,8,6825.6,24.1,Schulz,Nord
ANG-0059,2023-10-13,Weber AG,Präzisionssensor,Elektronik,480,458.4,4.5,3,1375.2,42.4,Schulz,Süd
ANG-0060,2023-07-02,Fischer Tech,Wartungsvertrag,Service,900,694.8,22.8,9,6253.2,6.7,Meyer,Nord
ANG-0061,2024-03-20,Fischer Tech,Wartungsvertrag,Service,900,783.0,13.0,20,15660.0,17.2,Meyer,Nord
ANG-0062,2023-02-15,Braun Industrie,Hydraulikpumpe,Maschinen,2800,2374.4,15.2,9,21369.6,31.6,Schulz,Nord
ANG-0063,2024-03-17,Braun Industrie,Hydraulikpumpe,Maschinen,2800,2276.4,18.7,12,27316.8,28.7,Hoffmann,Nord
ANG-0064,2024-06-03,Schmidt & Co.,Wartungsvertrag,Service,900,764.1,15.1,10,7641.0,15.2,Hoffmann,Nord
ANG-0065,2024-07-21,Schmidt & Co.,Präzisionssensor,Elektronik,480,424.32,11.6,10,4243.2,37.8,Schulz,Süd
ANG-0066,2024-07-15,Braun Industrie,Steuerungsmodul,Elektronik,1200,1011.6,15.7,13,13150.8,38.3,Hoffmann,Süd
ANG-0067,2024-08-16,Müller GmbH,Wartungsvertrag,Service,900,859.5,4.5,14,12033.0,24.6,Schulz,Nord
ANG-0068,2024-04-29,Braun Industrie,Präzisionssensor,Elektronik,480,435.36,9.3,17,7401.12,39.4,Hoffmann,Nord
ANG-0069,2023-08-29,Weber AG,Hydraulikpumpe,Maschinen,2800,2623.6,6.3,3,7870.8,38.1,Schulz,Süd
ANG-0070,2024-05-01,Weber AG,Steuerungsmodul,Elektronik,1200,1022.4,14.8,8,8179.2,39.0,Meyer,Nord
ANG-0071,2023-07-19,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2604.0,7.0,19,49476.0,37.6,Schulz,Süd
ANG-0072,2024-03-11,Braun Industrie,Steuerungsmodul,Elektronik,1200,1041.6,13.2,4,4166.4,40.1,Meyer,Nord
ANG-0073,2024-07-24,Weber AG,Steuerungsmodul,Elektronik,1200,1056.0,12.0,2,2112.0,40.9,Hoffmann,Süd
ANG-0074,2024-09-19,Braun Industrie,Steuerungsmodul,Elektronik,1200,987.6,17.7,15,14814.0,36.8,Schulz,Süd
ANG-0075,2024-05-01,Fischer Tech,Präzisionssensor,Elektronik,480,460.32,4.1,6,2761.92,42.6,Hoffmann,Süd
ANG-0076,2024-03-26,Schmidt & Co.,Präzisionssensor,Elektronik,480,409.92,14.6,9,3689.28,35.6,Hoffmann,Nord
ANG-0077,2023-11-24,Müller GmbH,Wartungsvertrag,Service,900,723.6,19.6,11,7959.6,10.4,Meyer,Süd
ANG-0078,2023-03-07,Weber AG,Steuerungsmodul,Elektronik,1200,1119.6,6.7,7,7837.2,44.3,Schulz,Nord
ANG-0079,2023-03-05,Braun Industrie,Präzisionssensor,Elektronik,480,434.88,9.4,14,6088.32,39.3,Schulz,Süd
ANG-0080,2023-01-07,Fischer Tech,Hydraulikpumpe,Maschinen,2800,2324.0,17.0,16,37184.0,30.1,Hoffmann,Süd
ANG-0081,2024-07-13,Schmidt & Co.,Wartungsvertrag,Service,900,798.3,11.3,18,14369.4,18.8,Schulz,Süd
ANG-0082,2023-01-30,Braun Industrie,Steuerungsmodul,Elektronik,1200,1200,0,16,19200,48.0,Schulz,Süd
ANG-0083,2024-04-23,Braun Industrie,Wartungsvertrag,Service,900,681.3,24.3,6,4087.8,4.9,Hoffmann,Süd
