transaktions_id,datum,kunde_id,kunde_name,produkt_id,produkt_name,kategorie,menge,einzelpreis,umsatz
TX-0128,2023-01-15,K07,Groß Automation,P05,Steuerungsmodul SM-Pro,Zubehör,1,1220,1220
TX-0121,2023-01-19,K07,Groß Automation,P06,Präzisionssensor PS-200,Zubehör,3,459,1377
TX-0122,2023-01-19,K07,Groß Automation,P04,Förderpumpe FP-350,Maschinen,2,2626,5252
TX-0102,2023-01-20,K06,Klein Systems,P11,Inbetriebnahme & Setup,Service,3,841,2523
TX-0054,2023-01-28,K03,Schmidt & Co.,P09,Wartungsvertrag Basic,Service,3,764,2292
TX-0072,2023-01-29,K04,Braun Industrie,P05,Steuerungsmodul SM-Pro,Zubehör,2,1202,2404
TX-0059,2023-01-30,K04,Braun Industrie,P12,Anwenderschulung,Service,1,702,702
TX-0146,2023-02-12,K08,Ritter Technik,P02,Kompressor KA-500,Maschinen,2,2452,4904
TX-0116,2023-02-14,K07,Groß Automation,P05,Steuerungsmodul SM-Pro,Zubehör,2,1380,2760
TX-0008,2023-02-17,K01,Müller GmbH,P01,Hydraulikpumpe HX-200,Maschinen,2,2696,5392
TX-0007,2023-03-05,K01,Müller GmbH,P11,Inbetriebnahme & Setup,Service,4,712,2848
TX-0042,2023-03-05,K03,Schmidt & Co.,P08,Schlauchpaket SP-Set,Zubehör,2,188,376
TX-0089,2023-03-06,K05,Fischer Tech,P02,Kompressor KA-500,Maschinen,4,2133,8532
TX-0023,2023-03-12,K02,Weber AG,P10,Wartungsvertrag Premium,Service,1,1238,1238
TX-0034,2023-03-26,K02,Weber AG,P05,Steuerungsmodul SM-Pro,Zubehör,2,977,1954
TX-0071,2023-03-28,K04,Braun Industrie,P12,Anwenderschulung,Service,2,543,1086
TX-0141,2023-03-28,K08,Ritter Technik,P05,Steuerungsmodul SM-Pro,Zubehör,2,1236,2472
TX-0110,2023-04-02,K06,Klein Systems,P11,Inbetriebnahme & Setup,Service,3,714,2142
TX-0005,2023-04-03,K01,Müller GmbH,P01,Hydraulikpumpe HX-200,Maschinen,4,2460,9840
TX-0138,2023-04-04,K08,Ritter Technik,P02,Kompressor KA-500,Maschinen,3,1891,5673
TX-0002,2023-04-07,K01,Müller GmbH,P11,Inbetriebnahme & Setup,Service,3,849,2547
TX-0051,2023-04-15,K03,Schmidt & Co.,P01,Hydraulikpumpe HX-200,Maschinen,3,3158,9474
TX-0063,2023-04-15,K04,Braun Industrie,P05,Steuerungsmodul SM-Pro,Zubehör,2,1140,2280
TX-0041,2023-04-17,K03,Schmidt & Co.,P08,Schlauchpaket SP-Set,Zubehör,4,261,1044
TX-0147,2023-04-18,K08,Ritter Technik,P09,Wartungsvertrag Basic,Service,4,715,2860
TX-0086,2023-04-19,K05,Fischer Tech,P12,Anwenderschulung,Service,1,563,563
TX-0105,2023-04-26,K06,Klein Systems,P01,Hydraulikpumpe HX-200,Maschinen,2,2507,5014
