firma_id,firma_name,strasse,plz,ort,land,branche,umsatz_klasse,mitarbeiter,website,erstellt_am
F0048,Weber  GmbH,Parkstraße 64,70173,Stuttgart,DE,Automotive,50–250 Mio,250–999,www.weber.de,2017-12-04
F0072,Industriewerke Ost GmbH & Co. KG,Technologiepark 5,10115,Berlin,DE,Maschinenbau,10–50 Mio,> 1000,www.industriewerke-ost.de,2018-03-28
F0038,Hahn GmbH,Gartenweg 108,30159,Hannover,DE,Metallindustrie,1–10 Mio,10–49,www.hahn.de,2017-11-15
F0112,PharmaRhein GmbH AG,Am Werk 97,70173,Stuttgart,DE,Pharma,1–10 Mio,10–49,www.pharmarhein-gmbh.de,2021-04-09
F0119,DrugStore Network GmbH,Gewerbepark 68,01067,Dresden,DE,Pharma,< 1 Mio,> 1000,www.drugstore-network.de,2015-11-14
F0110,WholesaleHub AG GmbH,Rheinstraße 30,45127,Essen,DE,Handel,1–10 Mio,1–9,www.wholesalehub-ag.de,2022-05-17
F0035,Möller GmbH,Münchener Straße 58,60311,Frankfurt,DE,Handel,10–50 Mio,50–249,www.moeller.de,2022-04-30
F0013,Klein GmbH & Co. KG,Hauptstraße 92,48143,Münster,DE,IT-Dienstleistung,< 1 Mio,1–9,www.klein.de,2016-06-12
F0080,Einzelhandel König GmbH,Gewerbepark 111,45127,Essen,DE,Handel,50–250 Mio,250–999,www.einzelhandel-koenig.de,2016-09-01
F0001,Müller GmbH & Co. KG,Rheinstraße 52,40213,Düsseldorf,DE,Maschinenbau,10–50 Mio,50–249,www.mueller.de,2021-09-21
F0040,Albrecht AG,Gartenweg 137,90402,Nürnberg,DE,Maschinenbau,1–10 Mio,10–49,www.albrecht.de,2016-06-05
F0093,Maschinenfabrik Thüringen GmbH & Co. KG,Am Werk 19,48143,Münster,DE,Maschinenbau,< 1 Mio,250–999,www.maschinenfabrik-thueringen.de,2017-09-16
F0106,NetServices GmbH AG,Rheinstraße 63,90402,Nürnberg,DE,IT-Dienstleistung,< 1 Mio,250–999,www.netservices-gmbh.de,2021-01-13
F0030,Günther AG,Hauptstraße 150,45127,Essen,DE,Maschinenbau,1–10 Mio,10–49,www.guenther.de,2015-07-15
F0004,Braun GmbH,Gewerbepark 126,20095,Hamburg,DE,IT-Dienstleistung,1–10 Mio,10–49,www.braun.de,2017-03-28
